word	frequency	num_vowels	syllables
земјоделец	2	4	зем,јо,де,лец
Надежда	2	3	На,деж,да
писателка	2	4	писа,тел,ка
брадата	2	3	бра,да,та
Аксел	2	2	Ак,сел
кулата	2	3	ку,ла,та
втела	2	2	вте,ла
гратчето	2	3	грат,че,то
продавачот	2	4	про,да,ва,чот
балконот	2	3	бал,ко,нот
војна	2	2	вој,на
Касмчето	2	3	Кас,мчето
реши	2	2	ре,ши
грешки	2	2	гре,шки
случај	2	2	слу,чај
кадата	2	3	ка,да
клештите	2	3	клеш,ти,те
ткаенина	2	4	ткае,ни,на
вентилот	2	3	вен,ти,лот
Влав	2	1
приказнава	2	4	при,каз,на,ва
Јорго	2	2	Јор,го
обајцата	2	4	о,ба,ј,ца,та
приквечерина	2	5	при,кве,че,ри,на
час	2	1
искуство	2	3	ис,ку,ство
плати	2	2	па,ти
читам	2	2	чи,там
Музејот	2	3	Му,зе,јот
Догледање	2	4	Дог,ле,дање
есејот	2	3	е,сејот
Кадис	2	2	Ка,дис
езерото	2	4	е,зе,ро,то
пушам	2	2	пу,шам
лекување	2	4	ле,ку,вање
слободен	2	3	сло,бо,ден
Кираца	2	3	 Ки,ра,ца 
лифт	2	1
нормален	2	3	нор,ма,лен
одеше	2	3	о,де,ше
воопшто	2	3	во,оп,што
пес	2	1
викнав	2	2	вик,нав
кажете	2	3	ка,же,те
прекина	2	3	пре,ци,на
чудење	2	3	чу,де,ње
насока	2	3	на,со,ка
некого	2	3	не,ко,го
момент	2	2	мо,мент
лупа	2	2	лу,па
поддршка	2	2	под,др,шка
Бели	2	2	Бе,ли
Ефрон	2	2	Е,фрон
однесување	2	5	од,не,су,вање
Азур	2	2	А,зур
оттука	2	3	от,ту,ка
подвикна	2	3	под,ви,кна
згора	2	2	зго,ра
стрико	2	2	стри,ко
Петре	2	2	Пе,тре
Езерник	2	3	Е,зер,ник
капата	2	3	ка,па,та
поднасмевна	2	4	под,на,сме,вна
викне	2	2	вик,не
прошетка	2	3	про,ше,тка
Учителот	2	4	У,чи,тел,от
знаењето	2	4	зна,ење,то
доцнеше	2	3	доц,не,ше
простории	2	4	про,сто,ри,и
гранки	2	2	гран,ки
искуства	2	3	ис,ку,ства
задоволен	2	4	за,до,во,лен
чудно	2	2	чу,дно
мамеше	2	3	ма,ме,ше
топлината	2	4	топ,ли,на,та
зборот	2	2	збо,рот
промени	2	3	про,ме,ни
светлини	2	3	свет,ли,ни
кутија	2	3	ку,ти,ја
мониторот	2	4	мон,и,тор,от
екранот	2	3	ек,ран,от
јаглики	2	3	ја,гли,ки
глуварки	2	3	глу,вар,ки
болницата	2	4	бол,ни,ца,та
брзо	2	1
кулисите	2	4	ку,ли,си,те
великанот	2	4	ве,ли,ка,нот
галеријата	2	5	га,ле,ри,ја,та
партитурите	2	5	пар,ти,ту,ри,te
темето	2	3	те,ме,то
тежина	2	3	те,жи,на
А	2	1
секира	2	3	се,ки,ра
Домот	2	2	До,мот
продавница	2	4	про,да,вни,ца
рамото	2	3	ра,мо,то
телефонот	2	4	те,ле,фонот
вилици	2	3	ви,ли,ци
гркланот	2	2	грк,ла,нот
калдрмата	2	3	кал,дрма,та
тропотот	2	3	троп,о,тот
пресрет	2	2	пре,срет
шупа	2	2	шу,па
волонтер	2	3	во,лон,те,рер
прашуваш	2	3	пра,шу,ваш
стакло	2	2	ста,кло
поза	2	2	по,за
издржам	2	2	из,дръ,жам
подолги	2	3	по,до,лги
градови	2	3	гра,до,ви
осамен	2	3	о,са,ме,нен
фотографија	2	5	фо,то,гра,фи,ја
универзитетот	2	6	универ,зи,те,тот
мигот	2	2	ми,гот
амфитеатарот	2	6	ам,фи,те,а,тар,от
популарен	2	4	по,пу,ла,рен
забележува	2	5	за,бе,лежу,ва
чаршафи	2	3	чар,ша,фи
пишуваш	2	3	пи,шу,ваш
сакал	2	2	са,кал
Хеорхина	2	4	Хе,ор,хи,на
задеваа	2	4	за,де,ваа
Ј	2	0
легенда	2	3	ле,ген,да
шопска	2	2	шоп,ска
Т	2	0
Нонче	2	2	Нон,че
Був	2	1
компјутер	2	3	ком,пју,тер
фотографирам	2	5	фо,то,гра,фи,рам
Толку	2	2	Тол,ку
Сузана	2	3	Су,за,на
Чекам	2	2	Че,кам
ЦЕПЕНКОВ	1	3	Це,пен,ков
ШТРКОТ	1	1
Божин	1	2	Бо,жин
Божиница	1	4	Бо,жи,ни,ца
пиеле	1	3	пи,е,ле
одучит	1	3	о,ду,чит
ајљазлак	1	3	ај,љаз,лак
добиле	1	3	до,би,ле
Чулета	1	3	Чу,ле,та
чуле	1	2	чу,ле
најдите	1	3	нај,ди,те
лошотии	1	4	ло,шо,тии
коло	1	2	ко,ло
пикне	1	2	пик,не
кумот	1	2	ку,мот
учише	1	3	у,чи,ше
граѓаните	1	4	граѓа,ни,те
дојдуам	1	3	дој,ду,ам
поклонуам	1	4	по,кло,ну,ва,м
секоаш	1	3	се,ко,аш
друзи	1	2	дру,зи
градојте	1	3	гра,дој,те
селата	1	3	се,ла,та
погоден	1	3	по,го,ден
жалам	1	2	жа,лам
ругата	1	3	ру,га,та
прај	1	1
избавил	1	3	и,зба,виł
удајле	1	3	у,дај,ле
заспиет	1	3	за,спи,ет
лајало	1	3	лаја,ло
мајче	1	2	мај,че
татче	1	2	та,тче
удаеше	1	4	у,да,еше
пеит	1	2	пе,ит
задужбина	1	4	за,дуž,би,на
огреало	1	4	ог,ре,а,ло
оваа	1	3	о,ваа
тамо	1	2	та,мо
Богоројца	1	4	Бо,го,ро,јца
дрвата	1	2	дрв,та
јадел	1	2	ја,дел
Прилепцкото	1	4	При,ле,пцко
нивје	1	2	ни,вје
бидат	1	2	би,дат
ѕверои	1	3	ѕве,ро,и
изнасмеале	1	5	из,на,сме,а,ле
прашаме	1	3	пра,ша,ме
рекле	1	2	ре,кле
најмил	1	2	нај,мил
имањето	1	4	и,ма,ње,то
здравјето	1	3	зда,рав,је,то
Неда	1	2	Не,да
потроа	1	3	по,тро,а
пукаш	1	2	пу,каш
ризам	1	2	ри,зам
грешките	1	3	гре,шки,те
гледале	1	3	гле,да,ле
приказувачка	1	5	при,ка,зу,ва,чка
понапре	1	3	по,на,пре
раѓаме	1	3	раѓа,ме
праеле	1	3	пра,е,ле
најди	1	2	нај,ди
јаороо	1	4	ја,о,ро
правина	1	3	пра,ви,на
умирам	1	3	у,ми,рам
веков	1	2	ве,ков
друзите	1	3	дру,зи,те
вати	1	2	ва,ти
внучко	1	2	вну,чко
далги	1	2	дал,ги
напрајме	1	3	на,прај,ме
војводата	1	4	вој,во,да,та
спале	1	2	спа,ле
чоеци	1	3	чо,е,ци
поверуаш	1	4	по,ве,ру,аш
јуначки	1	3	ју,нач,ки
т	1	0
гозба	1	2	гоз,ба
животинки	1	4	жи,во,тин,ки
Прилеп	1	2	При,lep
умрит	1	2	ум,рит
умрам	1	2	ум,рам
с	1	0
аџијата	1	4	аџи,ја,та
постела	1	3	по,сте,ла
бидит	1	2	би,дит
расплакал	1	3	рас,пла,кал
врлат	1	1
гоедата	1	4	го,е,да,та
гуштерици	1	4	гуш,те,ри,ци
кауѓерици	1	5	кау,ѓе,ри,ци
удри	1	2	у,дри
Богоројце	1	4	Бо,го,рој,це
стоел	1	2	сто,ел
летни	1	2	лет,ни
штркот	1	1
молзењето	1	4	мол,зе,ње
ватил	1	2	ва,тил
чавки	1	2	чав,ки
немат	1	2	не,мат
вдојца	1	2	вдо,јца
Велка	1	2	Вел,ка
јагнеле	1	3	јаг,не,ле
опашка	1	3	о,паш,ка
малце	1	2	мал,це
единак	1	3	е,дИ,нак
црвје	1	1
црви	1	1
свикало	1	3	сви,ка,ло
џари	1	2	џа,ри
остенот	1	3	ос,те,нот
тепале	1	3	те,па,ле
арно	1	2	ар,но
зборуаа	1	4	збо,ру,аа
рупчиња	1	3	руп,чиња
сламата	1	3	сла,ма,та
ругузината	1	5	ру,гу,зина,та
едночудо	1	4	ед,но,чудо
останала	1	4	ос,та,на,ла
тргат	1	1
сеќаат	1	3	сеќа,ат
срдиш	1	1
дојдит	1	2	дој,ди,т
жалиш	1	2	жа,лиш
плачиш	1	2	пла,чиш
свршена	1	2	сврше,на
Босилка	1	3	Бо,си,лка
дворој	1	2	дво,рој
црвени	1	2	црве,ни
гредите	1	3	гре,ди,те
седам	1	2	се,дам
свадбава	1	3	сва,дба,ва
аџија	1	3	аџи,ја
попишманил	1	4	по,пиш,ма,нил
виљает	1	3	ви,ља,ет
азар	1	2	а,зар
ритче	1	2	рит,че
идаат	1	3	и,да,ат
виљаетите	1	5	ви,ља,е,те
мршите	1	2	мрши,те
скакулците	1	4	ска,кул,ци,те
напрајле	1	3	на,прај,ле
живи	1	2	жи,ви
грееле	1	3	гре,е,ле
хам	1	1
лајш	1	1
Ду	1	1
прогоори	1	4	про,го,ри
втаса	1	2	вта,са
руба	1	2	ру,ба
целивал	1	3	це,ли,вал
речи	1	2	ре,чи
велел	1	2	ве,лел
верувал	1	3	ве,ру,вал
селово	1	3	се,ло,во
г	1	0
прележав	1	3	пре,ле,жав
преживеав	1	4	преж,и,ве,ав
носои	1	3	но,со,и
кажуат	1	3	ка,жу,ват
чуди	1	2	чу,ди
мое	1	2	мо,е
уверам	1	3	увер,ам
сторил	1	2	스토,рил
имаше	1	3	и,ма,ше
одбранит	1	3	од,бра,нит
Смиле	1	2	Сми,ле
Лиса	1	2	ли,са
гаткаш	1	2	га,ткаш
изорани	1	4	и,зо,ра,ни
оздравев	1	3	оз,дра,вев
кажуаше	1	4	ка,жу,аше
заварена	1	4	за,ва,ре,на
завари	1	3	за,ва,ри
здраво	1	2	зда,во
зеде	1	2	зе,де
станале	1	3	ста,на,ле
сопрво	1	2	соп,рво
ХРИСТОВ	1	2	ХРИ,СТОВ
КАМБАНА	1	3	КАМ,БА,НА
врби	1	1
свеченостите	1	5	све,че,ностите
Бесмислица	1	4	Бес,ми,сли,ца
владиката	1	4	вла,ди,ка,та
бракот	1	2	бра,кот
освети	1	3	осве,ти
сложно	1	2	сло,жно
старини	1	3	ста,ри,ни
легура	1	3	ле,гу,ра
генерации	1	5	ге,не,ра,ци,и
минаре	1	3	ми,на,ре
звук	1	1
имале	1	3	и,ма,ле
саканите	1	4	са,ка,ни,тe
џагорот	1	3	џа,го,рот
лелеат	1	3	ле,леат
ѕвон	1	1
ѕунења	1	3	ѕу,не,ња
хармонија	1	4	хар,мо,ни,ја
калуѓерките	1	5	ка,луѓер,ки,те
свештеник	1	3	све,ште,ник
запопи	1	3	за,по,пи
должности	1	3	дул,жно,сти
задолженија	1	5	за,дољ,же,ња
преданост	1	3	пре,да,ност
позвучен	1	3	поз,ву,чен
камбани	1	3	кам,ба,ни
цркви	1	1
камбанарии	1	5	кам,ба,на,ри,и
почувствителна	1	5	почув,стви,тел,на
предупредување	1	6	пре,ду,пре,ѓу,вање
мртовец	1	2	мрто,вец
звукот	1	2	зву,кот
виртуозот	1	4	вир,ту,озот
околина	1	4	о,ко,ли,на
повела	1	3	по,ве,ла
подготовки	1	4	под,го,тов,ки
гостин	1	2	го,стин
највозбудливиот	1	6	нај,воз,буд,ли,ви,от
соседното	1	4	сосед,ното
чин	1	1
кал	1	1
ѓоловите	1	4	ѓо,ло,ви,те
ливадата	1	4	ли,ва,да,та
полјана	1	3	по,ља,на
придружи	1	3	при,дру,жи
задоволства	1	4	за,до,вол,ства
поворката	1	4	по,во,рка,та
претставник	1	3	пре,став,ник
жито	1	2	жи,то
историјата	1	5	и,сто,ри,ја,та
страст	1	1
разгори	1	3	раз,го,ри
влезот	1	2	влез,от
поворка	1	3	по,вор,ка
ридиштата	1	4	ри,ди,шта,та
жестина	1	3	же,сти,на
офкање	1	3	оф,кање
неизбежното	1	5	не,из,бе,жно,то
провалија	1	4	про,ва,ли,ја
удира	1	3	у,ди,ра
патерицата	1	5	па,те,ри,ца,та
скрши	1	1
задржа	1	2	за,држа
свеченост	1	3	све,че,ност
испосник	1	3	ис,по,сник
напукна	1	3	на,пук,на
празниците	1	4	праз,ниците
болест	1	2	бо,лест
вистинската	1	4	ви,сти,нс,ка,та
РАЦИН	1	2	РА,ЦИН
ТАТКО	1	2	Тат,ко
работиш	1	3	ра,бо,тиш
садам	1	2	са,дам
спечали	1	3	спе,ча,ли
спанаќ	1	2	спа,наћ
разредиш	1	3	раз,ре,диш
снајде	1	2	снај,де
одличја	1	3	од,ли,ча
чувството	1	3	чув,ство,то
најумно	1	3	нај,ум,но
седало	1	3	се,да,ло
самостојност	1	4	са,мо,сто,јност
расипаа	1	4	ра,си,паа
зачмаеност	1	4	за,чма,е,ност
мајстор	1	2	мај,стор
дуќан	1	2	дуќан
помага	1	3	по,ма,га
ложилиница	1	5	ло,жи,ли,ни,ца
пиле	1	2	пи,ле
надуле	1	3	на,ду,ле
аргатите	1	4	ар,га,ти,те
твој	1	1
најчесно	1	3	нај,чес,но
засега	1	3	за,се,га
експлоататори	1	6	експло,а,та,то,ри
дело	1	2	де,ло
аргати	1	3	ар,га,ти
глеј	1	1
углед	1	2	у,глед
загубам	1	3	за,гу,бам
откровение	1	5	от,кро,ве,ние
крштевање	1	3	крште,ва,ње
занесуваше	1	5	за,не,су,ва,ше
потценуваше	1	5	пот,це,ну,ва,ше
мислење	1	3	мис,ле,ње
изнавика	1	4	из,на,ви,ка
крпа	1	1
задевка	1	3	за,де,вка
бургии	1	3	бур,ги,и
стварноста	1	3	ствар,носта
склад	1	1
традиции	1	4	тра,ди,ци,и
определи	1	4	оп,ре,ди
пропаднал	1	3	про,па,днал
шеснаесет	1	4	ше,сна,е,сет
угледот	1	3	у,глед,от
образот	1	3	о,бра,зот
домашни	1	3	до,ма,шни
еснафот	1	3	ес,на,фот
олади	1	3	о,ла,ди
ветува	1	3	ве,ту,ва
Финанси	1	3	Фи,нан,си
берба	1	2	бер,ба
злорадо	1	3	зло,ра,до
повредено	1	4	пов,ре,де,но
сметка	1	2	сме,тка
омрзна	1	2	ом,рзна
пречки	1	2	prech,ki
онаму	1	3	о,на,му
задолжува	1	4	за,дољ,зу,ва
помагаат	1	4	по,ма,га,аат
недостатни	1	4	нед,ост,та,ни
чуе	1	2	чу,е
аргатинки	1	4	ар,га,тин,ки
засегаат	1	4	за,се,га,ат
загази	1	3	за,га,зи
ценет	1	2	це,нет
заплаче	1	3	за,пла,че
заминува	1	4	за,ми,ну,ва
Сериозно	1	4	Се,ри,оз,но
пришествие	1	4	при,шес,тви,е
извојуваме	1	5	из,во,ју,ва,ме
разгалува	1	4	раз,га,лу,ва
тргнува	1	2	тргну,ва
Само	1	2	Са,мо
Трајко	1	2	Трај,ко
велат	1	2	ве,лат
логор	1	2	ло,гор
прибира	1	3	при,би,ра
столови	1	3	сто,ло,ви
подмити	1	3	под,ми,ти
молчат	1	2	мол,чат
собиче	1	3	со,би,че
боклук	1	2	бок,лук
финансот	1	3	фи,нан,сот
претрес	1	2	пре,трес
Потпиши	1	3	Пот,пиши
муцка	1	2	муц,ка
резил	1	2	ре,зил
роспио	1	3	рос,пио
превртуваат	1	4	пре,вор,ту,ва,ат
долапите	1	4	до,ла,пи,те
ковчежињата	1	5	ков,чеж,и,ња,та
понатаму	1	4	по,на,та,му
премена	1	3	пре,ме,на
Пих	1	1
сандаци	1	3	сан,да,ци
сандакот	1	3	сан,да,кот
нафталин	1	3	наф,та,лин
претураат	1	4	пре,ту,раат
ковчегот	1	3	ков,че,гот
сјај	1	1
букви	1	2	бук,ви
хуриет	1	3	ху,ри,ет
хуриетот	1	4	ху,ри,е,тот
музеј	1	2	му,зеј
устабаш	1	3	ус,та,баш
ТОЧКО	1	2	ТОЧ,КО
БОЈАНА	1	3	Бо,ја,на
чука	1	2	чу,ка
истиот	1	3	ис,ти,от
пишуваше	1	4	пи,шу,ва,ше
таксај	1	2	так,сај
новост	1	2	но,вост
жили	1	2	жи,ли
проговори	1	4	про,го,во,ри
иде	1	2	и,де
бре	1	1
овенало	1	4	о,ве,на,ло
небелено	1	4	не,бе,ле,но
Иде	1	2	И,де
ковчег	1	2	ков,чег
насмевнуваше	1	5	нас,ме,ву,ваше
пазеше	1	3	па,зеше
Крстане	1	2	Крста,не
чоите	1	3	чо,и,те
Спировски	1	3	Спи,ро,вски
врел	1	1
трска	1	1
заборавила	1	5	за,бо,ра,ви,ла
заборава	1	4	за,бо,ра,ва
последната	1	4	пос,лед,на
сврши	1	1
зурлите	1	3	зур,ли,те
Тешкото	1	3	Теш,ко,
разделат	1	3	раз,де,лат
намуртени	1	4	на,мур,те,ни
бијат	1	2	би,јат
шепотливо	1	4	ше,пот,лив,но
пратам	1	2	пра,та,м
гурбетчии	1	4	гур,бет,чи,и
жалиме	1	3	жа,ли,ме
заврти	1	2	за,вр,ти
тажни	1	2	та,жни
подолго	1	3	по,дол,го
гурбетчилак	1	4	гур,бе,чи,ла,к
црнеам	1	2	црне,ам
родила	1	3	ро,ди,ла
Наум	1	2	Наум
потешко	1	3	по,те,шко
доктор	1	2	док,тор
спаси	1	2	спа,си
сви	1	1
умира	1	3	у,ми,ра
петици	1	3	пе,ти,ци
броеја	1	3	бро,е,ја
скаменет	1	3	сκα,ме,нет
заискрија	1	4	за,искри,ја
тупаници	1	4	ту,па,ни,ци
идеше	1	3	и,деше
спасувај	1	3	спас,у,вај
Докторот	1	3	Док,тор,от
Бојано	1	3	Бо,ја,но
наземи	1	3	на,зе,ми
палчеше	1	3	пал,че,ше
најмачното	1	4	нај,мач,но
поголема	1	4	по,го,ле,ма
опаѓа	1	3	о,па,ѓа
надеваше	1	4	на,де,ва,ше
остарена	1	4	ос,та,ре,на
идење	1	3	и,де,ње
возбудување	1	5	воз,бу,два,ње
таква	1	2	так,ва
предвреме	1	3	пред,вре,ме
пресретнаа	1	4	пре,срет,наа
домаќинка	1	4	до,маҐ,ќин,ка
синџирче	1	3	син,џир,че
бразди	1	2	браз,ди
триножникот	1	4	три,но,жникот
набожно	1	3	на,бо,жно
куферот	1	3	ку,фе,рот
весело	1	3	ве,се,ло
донесов	1	3	до,несов
давеше	1	3	да,ве,ше
замолче	1	3	за,мол,че
работеше	1	4	ра,бо,теше
слана	1	2	сла,на
стаписана	1	4	ста,пи,са,на
светеше	1	3	све,те,ше
жолтици	1	3	жол,ти,ци
поткинаа	1	4	пот,ки,наа
клетва	1	2	клет,ва
проклето	1	3	про,кле,то
МАЛЕСКИ	1	3	МА,ЛЕС,КИ
ДИПТИХОН	1	3	Ди,пти,лон
ВЕЧЕР	1	2	ВЕ,ЧЕР
тапани	1	3	та,па,ни
милуваа	1	4	ми,лу,ваа
свиреа	1	3	сви,ре,а
Климева	1	3	Кли,ме,ва
екна	1	2	ек,на
спремаш	1	2	спре,маш
побргу	1	2	побр,гу
сплетоа	1	3	спле,тоа
плетачките	1	4	пле,та,чки,те
Унери	1	3	У,не,ри
позлати	1	3	по,зла,ти
фуртуна	1	3	фур,ту,на
Мраморец	1	3	Мра,мор,ец
дење	1	2	дење
врбјанци	1	2	врб,јан,ци
дим	1	1
одајчето	1	4	о,дај,че,то
нишките	1	3	ниш,ке,те
прозборија	1	4	про,збо,ри,ја
свирки	1	2	свир,ки
мило	1	2	ми,ло
Андонице	1	4	Ан,до,ни,це
белчишки	1	3	бел,чи,шки
сретсело	1	3	срет,се,ло
таван	1	2	та,ван
лулка	1	2	лу,лка
оброси	1	3	о,бро,си
молезливо	1	4	мо,леж,ли,во
минати	1	3	ми,на,ти
балисти	1	3	ба,ли,сти
брзај	1	1
скалила	1	3	ска,ли,ла
неговото	1	4	не,го,во,
ветрот	1	2	вет,рот
закажаа	1	4	за,ка,жаа
јаболкницата	1	5	ја,бол,кни,ца,та
нагантот	1	3	на,гантот
испиено	1	4	ис,пи,е,но
наму	1	2	на,му
нашите	1	3	на,ши,', ,те
обѕрнаа	1	3	об,ѕпна,а
заткуќи	1	3	за,тку,ќи
нагледа	1	3	на,гле,да
Дебарца	1	3	Де,бар,ца
кажеме	1	3	ка,же,ме
клале	1	2	кла,ле
гостеа	1	3	го,сте,а
фатат	1	2	фа,тат
дојдоа	1	3	дој,доа
дојдов	1	2	дој,дов
Германците	1	4	Гер,ман,ци,те
трепереа	1	4	tre,pe,rea
сретија	1	3	сре,ти,ја
мислеа	1	3	ми,сле,а
нашле	1	2	наш,ле
дадеме	1	3	да,деме
погачите	1	4	по,га,чи,те
планини	1	3	пла,ни,ни
незнаено	1	4	не,зна,е,но
патем	1	2	па,тем
песнарија	1	4	пе,сна,ри,ја
виулици	1	4	виу,ли,ци
удолу	1	3	у,до,лу
тргаме	1	2	тргаме
долг	1	1
снегови	1	3	сне,го,ви
Знаеме	1	3	Зна,еме
многупати	1	4	многу,па,ти
Мислевме	1	3	Мис,ле,вме
водич	1	2	во,дич
стрпна	1	1
зајаде	1	3	за,ја,де
човечка	1	3	чо,ве,чка
исткала	1	3	ист,ка,ла
месеци	1	3	ме,се,ци
Солунско	1	3	Со,лун,ско
Македонијо	1	5	Маке,до,нио
маката	1	3	ма,ка,та
паѓаа	1	3	паѓа,аа
пушкомитралезот	1	6	пуш,ко,ми,тра,ле,зот
главава	1	3	гла,ва,ва
Укор	1	2	У,кор
Тргаме	1	2	Трга,ме
влезе	1	2	вле,зе
осмевна	1	3	ос,ме,вна
стегнато	1	3	стег,на,то
кажи	1	2	ка,жи
боси	1	2	бо,си
необлечени	1	5	не,об,лече,ни
ковчегов	1	3	ков,че,гов
соземе	1	3	со,земе
нишки	1	2	ниш,ки
црна	1	1
плачи	1	2	пла,чи
погледна	1	3	пог,лед,на
Ама	1	2	А,ма
разидуваа	1	5	ра,зи,ду,ваа
испраќаше	1	4	ис,пра,ќа,ше
чеда	1	2	че,да
младенците	1	4	мла,ден,ци,те
откорне	1	3	от,кор,не
ламбата	1	3	лам,ба,та
вратиче	1	3	вра,ти,че
Застанете	1	4	За,ста,не,те
скршено	1	2	скрше,но
далечен	1	3	да,ле,чен
виеше	1	3	ви,еше
чорапи	1	3	чо,ра,пи
Кинисаа	1	4	Ки,ни,саа
Сите	1	2	Си,те
исчекаме	1	4	ис,че,ка,ме
доварди	1	3	до,вар,ди
ДЕН	1	1
тротоар	1	3	тро,то,ар
петличиња	1	4	пе,тли,чи,ња
општинска	1	3	оп,штин,ска
меѓувратите	1	5	меѓу,вра,ти,те
отсутно	1	3	от,су,стно
прва	1	1
тиносана	1	4	ти,но,са,на
врбјанка	1	2	врб,јан,ка
рогозина	1	4	ро,го,зи,на
Нада	1	2	На,да
скопјанец	1	3	Ско,пја,нец
плетевте	1	3	пле,те,вте
поигралито	1	5	по,и,грал,и,то
стожер	1	2	сто,жер
создаваат	1	4	со,зда,ва,ат
плачења	1	3	пла,чења
липот	1	2	ли,пот
плаќа	1	2	пла,ќа
разбереш	1	3	раз,бе,реш
Теодос	1	3	Те,о,дос
станал	1	2	ста,нал
Тој	1	1
Тие	1	2	Ти,е
Таму	1	2	Та,му
Разбра	1	2	Раз,бра
фурнир	1	2	фур,нир
едноподруго	1	5	ед,но,под,ру,го
траеше	1	3	тра,еше
прстенот	1	2	престе,нот
вршам	1	1
заминам	1	3	за,ми,нам
исекнува	1	4	и,сек,ну,ва
магаре	1	3	ма,га,ре
гнојосани	1	4	гно,јо,са,ни
еднаводруга	1	5	ед,на,во,дру,га
недоучените	1	6	не,до,у,че,ни,те
згмечело	1	3	згме,че,ло
учи	1	2	у,чи
плачеш	1	2	пла,чеш
Плачи	1	2	Пла,чи
пушкомитралез	1	5	пуш,ко,ми,тра,лез
рогозината	1	5	ро,го,зи,на,та
притаено	1	4	при,та,е,но
основно	1	3	ос,нов,но
Проговори	1	4	Про,го,во,ри
одговорила	1	5	од,го,во,ри,ла
парфеми	1	3	пар,фе,ми
зајадниците	1	5	за,јад,ниц,те
изгорениците	1	6	из,го,ре,ни,ци,те
револвери	1	4	ре,вол,ве,ри
итаканатаму	1	6	и,та,ка,на,та,му
Илјадапати	1	5	Ил,ја,да,па,ти
Додевно	1	3	До,де,вно
лудувам	1	3	лу,ду,вам
Повторување	1	5	по,вор,ту,ва,ње
кладовме	1	3	клад,ов,ме
каснавме	1	3	кас,нав,ме
најдовме	1	3	нај,дов,ме
седеше	1	3	се,деше
Дојдовме	1	3	Дој,дов,ме
руно	1	2	ру,но
невидена	1	4	не,ви,де,на
приквечер	1	3	при,кве,че,р
повторувам	1	4	по,вто,ру,вам
свршиме	1	2	свр,ши,ме
театар	1	3	те,а,тар
седум	1	2	се,дум
детево	1	3	де,те,во
канцеларијата	1	6	кан,це,ла,ри,ја,та
излажав	1	3	из,ла,жав
креваше	1	3	кре,ва,ше
обневидев	1	4	о,бе,не,ви,де,в
бачило	1	3	ба,чи,ло
бачилото	1	4	ба,чи,ло
црепна	1	2	цре,пна
видив	1	2	ви,див
повелби	1	3	по,вел,би
валкам	1	2	вал,кам
познајница	1	4	поз,нај,ни,ца
прошетаме	1	4	про,ше,та,ме
молев	1	2	мо,лев
Вас	1	1
Скомност	1	2	Ском,ност
Должност	1	2	Дол,жност
повторив	1	3	по,пов,тор,ив
славен	1	2	сла,вен
илјадапати	1	5	ил,ја,да,па,ти
немееше	1	4	не,ме,еше
Мислите	1	3	Мис,ли,те
шах	1	1
дореков	1	3	до,ре,ков
доречам	1	3	до,ре,чам
очивочи	1	4	о,чи,во,чи
лагите	1	3	ла,гите
командирот	1	4	ко,ман,ди,рот
тивнувам	1	3	ти,вну,вам
Лажеш	1	2	Ла,жеш
заборавиш	1	4	за,бо,ра,виш
Талета	1	3	Та,ле,та
војни	1	2	вој,ни
умеел	1	3	у,ме,ел
женил	1	2	же,нил
партизани	1	4	пар,ти,за,ни
тргаат	1	2	тр,га,ат
Точка	1	2	То,чка
Тале	1	2	Та,ле
каучов	1	3	кау,чов
Станиславски	1	4	Ста,ни,сла,вски
прочитав	1	3	про,чи,та,в
Шекспира	1	3	Шек,пи,ра
преведено	1	4	пре,ве,де,но
Шо	1	1
Неа	1	2	Не,а
Вистински	1	3	Вис,тин,ски
Кој	1	1
Говори	1	3	Го,вори
Нели	1	2	Не,ли
сожалив	1	3	сожа,лив
Гледаш	1	2	Гле,даш
мустакот	1	3	мус,та,кот
повторуваш	1	4	по,вору,ваш
Лаже	1	2	Ла,же
возење	1	3	во,зење
Возење	1	3	Во,зење
зема	1	2	зе,ма
јазење	1	3	ја,зе,ње
ридишта	1	3	ри,ди,шта
дека	1	2	де,ка
возела	1	3	во,зе,ла
Жена	1	2	Же,на
Караорман	1	4	 Ка, ра, ор, ман
Мегленско	1	3	Ме,глен,ско
колку	1	2	ко,лу
Мили	1	2	Ми,ли
неуверливо	1	5	не,у,вер,ли,во
насемеан	1	4	на,се,ме,ан
ЈАНЕВСКИ	1	3	Ја,нев,ски
ОДАЈА	1	3	ОДА,ЈА
оплодување	1	5	оп,ло,ду,ва,ње
Кукулино	1	4	Ку,ку,ли,но
пукаше	1	3	пу,ка,ше
чума	1	2	чу,ма
соковите	1	4	со,ко,ви,те
пепелница	1	4	пе,пел,ни,ца
издолжен	1	3	из,дол,жен
бореше	1	3	бо,реше
попот	1	2	по,пот
почва	1	2	поч,ва
разбирање	1	4	раз,би,рање
глобовите	1	4	гло,бо,ви,те
движење	1	3	дви,жење
нурнува	1	3	нур,ну,ва
катинар	1	3	ка,ти,нар
чади	1	2	ча,ди
изговорил	1	4	и,зго,ворил
врие	1	2	ври,е
предисторија	1	5	пре,ди,сто,ри,ја
килибар	1	3	ки,ли,бар
смолата	1	3	смо,ла,та
молци	1	2	мол,ци
Гора	1	2	Го,ра
распарано	1	4	рас,па,ра,но
темјан	1	2	тем,јан
жед	1	1
успева	1	3	у,спе,ва
клуч	1	1
грчи	1	1
катинарот	1	4	ка,ти,на,рот
недостаслива	1	5	не,до,ста,сув,ва
ками	1	2	ка,ми
